college_code,college_name,corrected_district,status
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Buldhana,Mapped
01117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Yavatmal,Mapped
01119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Buldhana,Mapped
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",Amravati,Mapped
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Buldhana,Mapped
01268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Buldhana,Mapped
02111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Chhatrapati Sambhajinagar,Mapped
02131,"Shree Tuljabhavani College of Engineering, Tuljapur",Dharashiv,Mapped
02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Beed,Mapped
02516,International Centre Of Excellence In Engineering and Management (ICEEM),Chhatrapati Sambhajinagar,Mapped
02634,"Eaglewood Polytechnic Institute, A.P Phulepimpalgaon",Beed,Mapped
02641,Dr. V.K. Patil College of Engineering & Technology,Dharashiv,Mapped
02666,Mangaldeep College of Engineering,Chhatrapati Sambhajinagar,Mapped
02758,Sant Eknath College of Engineering,Chhatrapati Sambhajinagar,Mapped
02770,"Shetkari Shikshan Prasarak Mandal's Mahesh Institute of Engineering and Technology , Ashti",Beed,Mapped
02771,Amolak College of Engineering Kada,Beed,Mapped
02772,JSPM College of Engineering,Latur,Mapped
02777,CDS College of Engineering,Chhatrapati Sambhajinagar,Mapped
02779,NKSPT INSTITUTE OF ENGINEERING AND TECHNOLOGY PATHIKAR CAMPUS,Jalna,Mapped
03014,"Sardar Patel College of Engineering, Andheri",Mumbai,Mapped
03033,"Dr. Babasaheb Ambedkar Technological University, Lonere",Raigad,Mapped
03147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Raigad,Mapped
03198,"Konkan Gyanpeeth College of Engineering, Karjat",Raigad,Mapped
03202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,Ratnagiri,Mapped
03206,"S.S.P.M.'s College of Engineering, Kankavli",Sindhudurg,Mapped
03209,K J Somaiya Institute of Technology,Mumbai,Mapped
03219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Thane,Mapped
03220,Yadavrao Tasgaonkar College of Engineering & Management,Raigad,Mapped
03222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Palghar,Mapped
03224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Raigad,Mapped
03277,Pravin Rohidas Patil College of Engineering & Technology,Thane,Mapped
03351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Thane,Mapped
03436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Thane,Mapped
03440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Sindhudurg,Mapped
03445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Thane,Mapped
03470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Sindhudurg,Mapped
03546,Devi Mahalaxmi College of Engineering and Technology,Thane,Mapped
03723,Navjeevan Education Society's College of Engineering,Mumbai,Mapped
03724,Thakur Shree DPS College of Engineering & Management,Palghar,Mapped
03726,Imperial College of Engineering,Thane,Mapped
04104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur,Mapped
04118,"Bapurao Deshmukh College of Engineering, Sevagram",Wardha,Mapped
04188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Chandrapur,Mapped
04190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Chandrapur,Mapped
04197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Wardha,Mapped
04679,"Karanjekar College of Engineering & Management, Sakoli",Bhandara,Mapped
05160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Ahilyanagar,Mapped
05162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Ahilyanagar,Mapped
05168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Jalgaon,Mapped
05170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Jalgaon,Mapped
05172,"R. C. Patel Institute of Technology, Shirpur",Dhule,Mapped
05184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Nashik,Mapped
05223,"SMT. SHARCHCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY (ENGINEERING & POLYTECHNIC), CHOPDA",Jalgaon,Mapped
05256,Matoshri Aasarabai Institute of Technology and Research Centre,Nashik,Mapped
05303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Ahilyanagar,Mapped
05370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Ahilyanagar,Mapped
05381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Dhule,Mapped
05395,Ashok Institute of Engineering & Technology,Ahilyanagar,Mapped
05408,"Vidya Niketan College of Engineering, Bota Sangamner",Ahilyanagar,Mapped
05411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Nashik,Mapped
05433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",Dhule,Mapped
05509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Ahilyanagar,Mapped
05513,"MKD Institute of Technology, Nadurbar",Nandurbar,Mapped
05545,"Shri Vile Parle Kelavani Mandal's College of Engineering, Shirpur",Dhule,Mapped
05597,VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT,Ahilyanagar,Mapped
06004,"Government College of Engineering & Research, Avasari Khurd",Pune,Mapped
06182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Pune,Mapped
06183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Pune,Mapped
06184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Pune,Mapped
06185,Sinhgad Institute of Technology,Pune,Mapped
06217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",Kolhapur,Mapped
06220,"SVERI's College of Engineering, Pandharpur",Solapur,Mapped
06268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Kolhapur,Mapped
06274,"PVG's College of Engineering, Technology & Management",Pune,Mapped
06277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Kolhapur,Mapped
06307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Pune,Mapped
06311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Pune,Mapped
06313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Sangli,Mapped
06315,Sanjeevan Group of Institutions,Kolhapur,Mapped
06319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Pune,Mapped
06320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Pune,Mapped
06322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Pune,Mapped
06324,Rajgad Technical Campus,Pune,Mapped
06326,Karmayogi Institute of Technology,Solapur,Mapped
06444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Solapur,Mapped
06609,"Jaihind College Of Engineering,Kuran",Pune,Mapped
06625,"Universal College of Engineering & Research, Sasewadi",Pune,Mapped
06632,Navsahyadri Education Society's Group of Institutions,Pune,Mapped
06635,Samarth College of Engineering and Management,Pune,Mapped
06644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Sangli,Mapped
06756,"Fabtech Technical Campus College of Engineering and Research, Sangola",Solapur,Mapped
06781,"Bhagwant Institute of Technology, Barshi",Solapur,Mapped
06782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Solapur,Mapped
06795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Pune,Mapped
06803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Kolhapur,Mapped
06811,Sanjay Ghodawat Institute,Kolhapur,Mapped
06815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Pune,Mapped
06822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Pune,Mapped
06834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Pune,Mapped
06901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Solapur,Mapped
16006,COEP Technological University,Pune,Mapped
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",Kolhapur,Mapped
16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",Pune,Mapped
16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",Pune,Mapped
16354,DNYANVILAS COLLEGE OF ENGINEERING,Pune,Mapped
16355,Audyogik Shikshan Mandal's Nextgen Technical Campus,Pune,Mapped
16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,Pune,Mapped
